KIND;OPR;STAT;AREA;CITY   ;CB   ;LAC; CID ; GSM ; DCS ; 3G L; 3G C ; 3G S ; DATE  ; ADDR                 ; REM                               ;  OZIN     ;  OZIE  ;LOCK
/;Витебск;;;;;;;;;;;;;;;
$;M;R;VI.; Тулово    ; TULOVO   ; 47; 2523 ;123 ;456 ;245; 6020 ;123456   ;245; 1138 ;567 ;21.03.06; Тулово              ;управл. ОАО "Белтеплоизоляция", мачта; 55.205240; 30.273010;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 43; 2550 ;123 ;456 ;246; 6021 ;12345678 ;246; 2470 ;123 ;02.05.06; К. Маркса 53        ; магазин "Евроопт", мачта            ; 55.186341; 30.168108;G
$;M;R;VI.; Витебск   ;          ;   ; 2550 ;    ;    ;246; 2511 ;        9;   ;      ;    ;23.01.18; К. Маркса 53        ; магазин "Евроопт", мачта            ; 55.186341; 30.168108;G
$;M;R;VI.; Ольгово   ; OL'GOVO  ; 87; 2551 ;123 ;456 ;245; 6022 ;1234567  ;245; 2470 ;456 ;06.03.06; Ольгово, Сельская   ; маш. двор ЗАО "Ольговское", мачта   ; 55.229093; 30.214424;G
$;M;R;VI.; Ольгово   ;          ;   ; 2551 ;    ;    ;245; 6052 ;1  4     ;   ;      ;    ;12.01.15; Ольгово, Сельская   ; маш. двор ЗАО "Ольговское", мачта   ; 55.229093; 30.214424;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 43; 2552 ;123 ;456 ;246; 6023 ;1234567  ;246; 2471 ;123 ;06.03.06; Академика Павлова 23; общежитие N2 ОАО "КИМ", трубостойки ; 55.177624; 30.179194;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 48; 2553 ;123 ;456 ;240; 2588 ;1234567  ;240; 2471 ;456 ;28.12.08; Строителей 3Б       ; узел связи РУП "Белтелеком", мачта  ; 55.169355; 30.204825;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 47; 2554 ;123 ;456 ;245; 6024 ;123456  9;245; 2472 ;123 ;06.03.06; Фрунзе 44           ; ресторан "Зелёная Гура", мачта      ; 55.194471; 30.233415;G
$;M;R;VI.; Витебск   ;          ;   ; 2554 ;    ;    ;245; 2616 ;       8 ;   ;      ;    ;19.05.17; Фрунзе 44           ; ресторан "Зелёная Гура", мачта      ; 55.194471; 30.233415;G
$;M;R;VI.; Витебск   ;          ;   ; 2554 ;    ;    ;245; 2256 ;1   4  7 ;   ;      ;    ;17.04.18; Фрунзе 44           ; ресторан "Зелёная Гура", мачта      ; 55.194471; 30.233415;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 48; 2556 ;123 ;456 ;240; 2632 ;1234567 9;240; 2472 ;456 ;28.12.08; пр. Победы 40       ; центр гигиены и эпидемиологии, мачта; 55.158946; 30.220647;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 43; 2557 ;123 ;456 ;246; 6025 ;123456 89;246; 2472 ;9   ;06.03.06; 3-я Чепинская 37А   ; СТО, мачта                          ; 55.210089; 30.133315;G
$;M;R;VI.; Витебск   ;          ;   ; 2557 ;    ;    ;   ; 6072 ;1  4  7  ;246; 3472 ;14  ;13.01.17; 3-я Чепинская 37А   ; СТО, мачта                          ; 55.210089; 30.133315;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 45; 2558 ;123 ;456 ;240; 2634 ;123456789;240; 2473 ;123 ;28.12.06; Чкалова 17-1        ; общежитие, трубостойки и трипод     ; 55.174349; 30.210702;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 87; 2559 ;123 ;456 ;245; 6026 ;123456 89;245; 2473 ;456 ;06.03.06; Гагарина 68         ; ОАО "АТП N1", мачта                 ; 55.214730; 30.230070;G
$;M;R;VI.; Витебск   ;          ;   ; 2559 ;    ;    ;245; 2637 ;      7  ;   ;      ;    ;19.05.17; Гагарина 68         ; ОАО "АТП N1", мачта                 ; 55.214730; 30.230070;G
$;M;R;VI.; Витебск   ;          ;   ; 2559 ;    ;    ;245; 6061 ;12 45 78 ;   ;      ;    ;12.01.15; Гагарина 68         ; ОАО "АТП N1", мачта                 ; 55.214730; 30.230070;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 45; 2560 ;123 ;456 ;240; 2638 ;123456789;240; 2474 ;123 ;28.12.06; пр. Победы 7        ; общежитие, трубостойки              ; 55.171034; 30.223727;G
