KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
/;Минская область
//$;M;R  ;MIO; ?                   ;              ; хх ;  ххх ;х   ;    ;     ;      ;         ;   ;      ;    ;хх.08.18 ; ???                   ; 
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 6308 ;7   ;19.06.16; ???                   ; (???) - Логойский р-н? Корч ловил тут:, 2373?        ; 54.186751; 27.673627;*?*
$;M;R  ;MIO; ?                   ;;;;;;;;;173; 6314 ;0   ;12.02.19; ???                   ; (???) - около БС 4417, 2348?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6315 ;5   ;11.09.16; ???                   ; (???) - граница МиО и ГрО, по М6, 2337?
$;M;R  ;MIO; ?                   ;;;;;;;;;173; 6316 ;2   ;26.04.16; ???                   ; (???) - ловилось по дороге Минск-Дзержинск, 2330?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 6316 ;6   ;31.05.18; ???                   ; (132) - Большое Беляково? 2329?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 6323 ;2   ;19.06.16; ???                   ; (???) - Логойский р-н? Корч ловил тут:, 2181?        ; 54.186751; 27.673627;*?*
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 6323 ;4   ;15.05.16; ???                   ; (165) - Сульжицы-Раков, 2176?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6329 ;1   ;05.06.17; ???                   ; (???) - хз кто где, LAC?, 2123?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6330 ;3   ;27.03.16; ???                   ; (???) - Березинское? 1885?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 6332 ;8   ;20.05.16; ???                   ; (???) - около Марьина Горка, 1401/1402?
$;M;R  ;MIO; ?                   ;;;;;;;;;173; 6334 ;7   ;26.04.16; ???                   ; (???) - ловилось по дороге Минск-Дзержинск, 1327?
$;M;R  ;MIO; ?                   ;;;;;;;;;173; 6336 ;0   ;09.10.16; ???                   ; (???) - ловилось около Держинска, 1174?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6338 ;7   ;27.12.16; ???                   ; (???) - около M7, 885?  *питон*
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6342 ;1   ;15.05.16; ???                   ; (???) - около Сульжицы, Шараи?, 853?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 6344 ;89  ;01.07.17; ???                   ; (???) - Березинский р-н? Василевщина, 625? *питон*
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6349 ;0   ;02.05.16; ???                   ; (???) - хз кто где, 571?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6349 ;1   ;02.05.16; ???                   ; (???) - хз кто где, 548?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6349 ;4   ;02.05.16; ???                   ; (???) - ловилась около Силичи, 548?
$;M;R  ;MIO; ?                   ;;;;;;;;;173; 6359 ;3   ;19.06.16; ???                   ; (???) - хз кто где, вероятно 413?
$;M;R  ;MIO; ?                   ;;;;;;;;;173; 6359 ;9   ;19.06.16; ???                   ; (???) - хз кто где, вероятно 412?
